PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,"Working Out of House (0= maybe, 1=true,2=false)",Rationale,Percentage of total,Essential Location,EMP_PRSE,JOBS_1000,ANNUAL,HOURLY
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3111,Compensation and Benefits Managers,280,2,,0.010,,7.9,0.099,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3121,Human Resources Managers,"2,700",2,,0.095,,4.0,0.947,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3131,Training and Development Managers,700,2,,0.025,,8.1,0.244,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9021,Construction Managers,"4,890",2,,0.172,,6.9,1.715,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9031,"Education Administrators, Preschool and Childcare Center/Program","1,580",2,,0.055,,9.8,0.554,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9032,"Education Administrators, Elementary and Secondary School","4,710",2,,0.165,,5.6,1.652,TRUE,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9033,"Education Administrators, Postsecondary","2,450",2,,0.086,,4.4,0.859,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9039,"Education Administrators, All Other",550,2,,0.019,,7.8,0.192,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9041,Architectural and Engineering Managers,"3,370",2,,0.118,,4.8,1.183,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9061,Funeral Service Managers,250,2,,0.009,,19.4,0.087,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9071,Gaming Managers,60,2,,0.002,,27.8,0.021,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9121,Natural Sciences Managers,"3,450",2,,0.121,,8.4,1.212,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9141,"Property, Real Estate, and Community Association Managers","3,460",2,,0.121,,11.6,1.215,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9151,Social and Community Service Managers,"4,140",2,,0.145,,4.4,1.455,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-9199,"Managers, All Other","7,710",2,,0.271,,3.6,2.708,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-0000,Business and Financial Operations Occupations,"175,040",2,,6.145,,1.3,61.447,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",90,2,,0.003,,20.5,0.033,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1020,Buyers and Purchasing Agents,"8,470",2,,0.297,,3.6,2.973,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1031,"Claims Adjusters, Examiners, and Investigators","8,780",2,,0.308,,6.2,3.081,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1032,"Insurance Appraisers, Auto Damage",300,2,,0.011,,23.0,0.106,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1041,Compliance Officers,"7,490",2,,0.263,,3.3,2.630,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1051,Cost Estimators,"4,100",2,,0.144,,5.8,1.441,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1075,Labor Relations Specialists,"2,280",2,,0.080,,5.8,0.800,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1081,Logisticians,"4,520",2,,0.159,,4.2,1.587,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1111,Management Analysts,"16,110",2,,0.566,,3.4,5.654,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1121,"Meeting, Convention, and Event Planners","2,350",2,,0.082,,17.3,0.826,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1131,Fundraisers,"1,820",2,,0.064,,5.9,0.638,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1141,"Compensation, Benefits, and Job Analysis Specialists","1,760",2,,0.062,,6.8,0.618,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1151,Training and Development Specialists,"5,310",2,,0.186,,3.5,1.865,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-1161,Market Research Analysts and Marketing Specialists,"16,560",2,,0.581,,3.4,5.812,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2011,Accountants and Auditors,"29,390",2,,1.032,,2.7,10.317,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2021,Appraisers and Assessors of Real Estate,620,2,,0.022,,12.1,0.218,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2031,Budget Analysts,870,2,,0.031,,5.5,0.305,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2041,Credit Analysts,"2,620",2,,0.092,,7.9,0.919,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2051,Financial Analysts,"10,800",2,,0.379,,5.9,3.792,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2052,Personal Financial Advisors,"5,760",2,,0.202,,7.1,2.023,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2053,Insurance Underwriters,"3,170",2,,0.111,,8.6,1.112,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2061,Financial Examiners,"1,470",2,,0.052,,11.6,0.515,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2071,Credit Counselors,870,2,,0.031,,22.8,0.304,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2072,Loan Officers,"5,830",2,,0.205,,10.0,2.046,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2081,"Tax Examiners and Collectors, and Revenue Agents","1,810",2,,0.064,,0.9,0.635,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2082,Tax Preparers,930,2,,0.033,,24.5,0.326,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13-2099,"Financial Specialists, All Other","2,990",2,,0.105,,6.8,1.051,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-0000,Computer and Mathematical Occupations,"99,080",2,,3.478,,2.1,34.780,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1111,Computer and Information Research Scientists,240,2,,0.008,,18.6,0.086,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1121,Computer Systems Analysts,"12,420",2,,0.436,,5.7,4.359,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1122,Information Security Analysts,"2,280",2,,0.080,,5.8,0.801,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1131,Computer Programmers,"6,020",2,,0.211,,8.0,2.113,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1132,"Software Developers, Applications","20,510",2,,0.720,,4.4,7.199,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1133,"Software Developers, Systems Software","5,860",2,,0.206,,8.4,2.058,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1134,Web Developers,"3,080",2,,0.108,,10.1,1.082,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1141,Database Administrators,"3,520",2,,0.124,,6.8,1.235,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1142,Network and Computer Systems Administrators,"7,520",2,,0.264,,5.2,2.641,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1143,Computer Network Architects,"4,090",2,,0.144,,6.0,1.436,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1151,Computer User Support Specialists,"12,760",2,,0.448,,4.6,4.480,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1152,Computer Network Support Specialists,"3,600",2,,0.126,,12.1,1.264,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-1199,"Computer Occupations, All Other","10,460",2,,0.367,,5.4,3.674,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-2011,Actuaries,"1,070",2,,0.038,,18.0,0.376,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-2021,Mathematicians,90,2,,0.003,,46.3,0.033,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-2031,Operations Research Analysts,"2,920",2,,0.103,,7.2,1.024,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15-2041,Statisticians,"2,600",2,,0.091,,11.0,0.912,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-0000,Architecture and Engineering Occupations,"47,480",2,,1.667,,2.8,16.667,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-1011,"Architects, Except Landscape and Naval","2,780",2,,0.098,,8.5,0.977,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-1012,Landscape Architects,490,2,,0.017,,20.6,0.173,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-1021,Cartographers and Photogrammetrists,40,2,,0.001,,9.0,0.014,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-1022,Surveyors,560,2,,0.020,,14.5,0.198,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2011,Aerospace Engineers,"3,200",2,,0.112,,26.6,1.123,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2061,Computer Hardware Engineers,480,2,,0.017,,30.7,0.168,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2071,Electrical Engineers,"4,250",2,,0.149,,6.9,1.491,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2072,"Electronics Engineers, Except Computer","2,010",2,,0.071,,14.9,0.707,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2081,Environmental Engineers,"1,190",2,,0.042,,9.8,0.417,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2121,Marine Engineers and Naval Architects,80,2,,0.003,,28.9,0.029,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2131,Materials Engineers,450,2,,0.016,,9.7,0.157,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2141,Mechanical Engineers,"6,350",2,,0.223,,5.3,2.227,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2171,Petroleum Engineers,220,2,,0.008,,22.3,0.076,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-2199,"Engineers, All Other","2,860",2,,0.100,,11.6,1.004,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3011,Architectural and Civil Drafters,"1,700",2,,0.060,,11.8,0.596,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3012,Electrical and Electronics Drafters,470,2,,0.016,,13.6,0.164,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3013,Mechanical Drafters,990,2,,0.035,,8.2,0.347,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3019,"Drafters, All Other",120,2,,0.004,,17.9,0.043,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3021,Aerospace Engineering and Operations Technicians,50,2,,0.002,,42.7,0.019,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3022,Civil Engineering Technicians,920,2,,0.032,,16.7,0.325,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3023,Electrical and Electronics Engineering Technicians,"1,780",2,,0.062,,13.0,0.626,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3024,Electro-Mechanical Technicians,120,2,,0.004,,26.1,0.042,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3025,Environmental Engineering Technicians,450,2,,0.016,,21.5,0.160,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3026,Industrial Engineering Technicians,800,2,,0.028,,9.1,0.280,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3027,Mechanical Engineering Technicians,880,2,,0.031,,16.3,0.307,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3029,"Engineering Technicians, Except Drafters, All Other","1,150",2,,0.040,,12.3,0.403,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17-3031,Surveying and Mapping Technicians,280,2,,0.010,,17.2,0.099,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-0000,"Life, Physical, and Social Science Occupations","30,730",2,,1.079,,5.5,10.786,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1011,Animal Scientists,50,2,,0.002,,27.2,0.016,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1012,Food Scientists and Technologists,180,2,,0.006,,11.6,0.063,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1013,Soil and Plant Scientists,110,2,,0.004,,21.1,0.039,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1021,Biochemists and Biophysicists,"1,310",2,,0.046,,13.0,0.460,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1022,Microbiologists,630,2,,0.022,,14.1,0.222,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1023,Zoologists and Wildlife Biologists,80,2,,0.003,,25.2,0.029,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1029,"Biological Scientists, All Other",420,2,,0.015,,17.4,0.149,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1031,Conservation Scientists,280,2,,0.010,,16.7,0.100,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1041,Epidemiologists,60,2,,0.002,,15.6,0.020,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-1099,"Life Scientists, All Other",40,2,,0.001,,22.5,0.013,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-2012,Physicists,170,2,,0.006,,19.0,0.061,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-2021,Atmospheric and Space Scientists,50,2,,0.002,,32.0,0.016,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-2031,Chemists,"4,280",2,,0.150,,33.1,1.501,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-2032,Materials Scientists,280,2,,0.010,,7.4,0.097,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-2041,"Environmental Scientists and Specialists, Including Health","1,130",2,,0.040,,11.6,0.397,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-2042,"Geoscientists, Except Hydrologists and Geographers",560,2,,0.020,,23.2,0.196,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-2043,Hydrologists,90,2,,0.003,,44.2,0.031,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-2099,"Physical Scientists, All Other",240,2,,0.008,,7.0,0.083,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3011,Economists,260,2,,0.009,,21.0,0.091,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3022,Survey Researchers,490,2,,0.017,,14.9,0.172,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3031,"Clinical, Counseling, and School Psychologists","3,220",2,,0.113,,7.4,1.132,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3039,"Psychologists, All Other",190,2,,0.007,,10.9,0.068,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3041,Sociologists,40,2,,0.001,,37.8,0.014,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3051,Urban and Regional Planners,570,2,,0.020,,13.9,0.200,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3091,Anthropologists and Archeologists,40,2,,0.001,,24.8,0.014,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3093,Historians,60,2,,0.002,,19.9,0.022,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-3099,"Social Scientists and Related Workers, All Other",300,2,,0.011,,3.6,0.106,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-4021,Biological Technicians,"2,500",2,,0.088,,11.9,0.877,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-4041,Geological and Petroleum Technicians,90,2,,0.003,,30.8,0.031,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-4061,Social Science Research Assistants,870,2,,0.031,,12.6,0.306,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-4099,"Life, Physical, and Social Science Technicians, All Other","1,090",2,,0.038,,9.2,0.383,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-0000,Community and Social Service Occupations,"56,300",2,,1.976,,2.9,19.764,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21-1012,"Educational, Guidance, School, and Vocational Counselors","4,880",2,,0.171,,7.8,1.715,,
